                                             Damping parameters   Lande 
Spec Ion       WL_air(A) Excit(eV)  log gf*  Rad.   Stark  Waals  factor 
'Fe 1',      6105.12720,    4.548,  -2.000, 8.330,-3.960,-7.243,  1.620, hi 
'Fe 1',      6117.19423,    6.370,  -0.950, 8.180,-5.150,-7.510,  0.720, low
'Fe 1',      6120.24560,    0.915,  -5.950, 4.130,-6.170,-7.820,  1.550, hi 
'Fe 1',      6127.90579,    4.143,  -1.320, 8.000,-6.020,-7.790,  0.720, low
'Fe 1',      6151.61690,    2.176,  -3.239, 8.290,-6.160,-7.696,  1.840, hi 
'Fe 1',      6157.72753,    4.076,  -1.150, 7.890,-6.030,-7.790,  1.220, low
'Fe 1',      6159.37293,    4.608,  -1.900, 8.320,-4.690,-7.216,  1.220, hi 
'Fe 1',      6165.35945,    4.143,  -1.474, 8.000,-6.020,-7.780,  0.690, low
'Fe 1',      6171.00906,    4.733,  -2.400, 8.410,-4.810,-7.510,  1.410, hi 
'Fe 1',      6180.20182,    2.728,  -2.620, 8.210,-5.910,-7.612,  0.640, low
'Fe 1',      6185.69266,    5.649,  -0.760, 7.900,-4.910,-7.510,  0.760, low
'Fe 1',      6187.98879,    3.943,  -1.650, 7.750,-5.380,-7.179,  1.590, low
'Fe 1',      6208.21115,    5.099,  -2.140, 8.790,-4.290,-7.330,  0.680, low
'Fe 1',      6215.42814,    4.991,  -1.730, 8.790,-4.130,-7.320,  1.200, low
'Fe 1',      6220.77933,    3.882,  -2.350, 7.800,-5.270,-7.208,  1.290, hi 
'Fe 1',      6221.67132,    0.859,  -6.455, 4.500,-6.210,-7.830,  1.210, hi 
'Fe 1',      6226.73380,    3.883,  -2.120, 7.830,-5.270,-7.208,  1.350, hi 
'Fe 1',      6229.22550,    2.845,  -2.895, 8.200,-5.880,-7.592,  0.990, hi 
'Fe 1',      6232.63993,    3.654,  -1.115, 8.080,-5.380,-7.540,  1.990, low
'Fe 1',      6240.64577,    2.223,  -3.275, 6.880,-6.130,-7.661,  0.990, hi 
'Fe 1',      6270.22296,    2.858,  -2.550, 8.200,-5.880,-7.591,  0.490, low
'Fe 1',      6271.27749,    3.332,  -2.750, 8.230,-5.410,-7.278,  1.490, hi 
'Fe 1',      6280.61660,    0.859,  -4.280, 4.440,-6.200,-7.788,  1.450, hi 
'Fe 1',      6286.13241,    5.616,  -0.650, 7.810,-3.840,-7.130,  1.250, low
